fighter_name,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,ufc_wins,ufc_losses,ufc_kos,ufc_submissions,td_acc_float,td_def_float,win_rate,ko_rate,sub_rate,striking_eff,grappling
Santiago Ponzinibbio,31,9,0,4.78,41.0,4.68,61%,0.6,27%,71%,0.0,12,8,7,0,0.27,0.71,0.5999999700000015,0.5833332847222263,0.0,1.0000000000000002,0.07830000000000001
Tim Sylvia,31,10,0,4.23,41.0,2.61,61%,0.11,100%,75%,0.1,9,4,5,0,1.0,0.75,0.6923076390532585,0.5555554938271674,0.0,1.5608856088560887,0.25
Sanae Kikuta,31,9,3,0.7,45.0,0.9,52%,1.6,63%,25%,1.8,1,0,0,1,0.63,0.25,0.9999990000010001,0.0,0.9999990000010001,0.7,0.47250000000000003
Shunichi Shimizu,30,18,11,0.14,33.0,4.68,30%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0292887029288703,0.0
Nik Lentz,30,12,2,3.44,47.0,3.25,50%,3.3,32%,43%,1.2,14,9,3,2,0.32,0.43,0.6086956257088858,0.21428569897959293,0.14285713265306196,1.026865671641791,0.18240000000000003
Matt Horwich,30,25,1,1.11,62.0,2.16,38%,0.33,9%,28%,2.7,0,2,0,0,0.09,0.28,0.0,0.0,0.0,0.4911504424778761,0.0648
Yoshiki Takahashi,30,27,3,2.26,51.0,6.47,44%,0.0,0%,66%,2.3,1,0,0,0,0.0,0.66,0.9999990000010001,0.0,0.0,0.3439878234398782,0.0
Guy Mezger,30,14,2,2.3,32.0,1.36,72%,0.39,50%,88%,0.0,4,1,2,1,0.5,0.88,0.799999840000032,0.49999987500003124,0.24999993750001562,1.5753424657534243,0.06
Falaniko Vitale,30,11,0,1.88,49.0,3.68,47%,0.72,33%,86%,0.0,1,1,1,0,0.33,0.86,0.499999750000125,0.9999990000010001,0.0,0.49735449735449727,0.046200000000000005
Cub Swanson,30,14,0,4.79,51.0,4.0,59%,1.01,50%,63%,0.4,15,10,7,0,0.5,0.63,0.599999976000001,0.46666663555555765,0.0,1.1682926829268294,0.185
Robbie Lawler,30,16,0,3.85,47.0,4.67,59%,0.65,64%,65%,0.0,15,10,8,0,0.64,0.65,0.599999976000001,0.5333332977777802,0.0,0.8071278825995808,0.22399999999999998
Jon Fitch,30,7,1,2.61,50.0,1.65,54%,3.6,51%,56%,0.8,14,3,1,3,0.51,0.56,0.8235293633218022,0.07142856632653098,0.21428569897959293,1.4914285714285713,0.2244
