Nome,Height,Altura_cm,Weight,Reach,Stance
Amir Albazi,"5' 5""",165.1,125 lbs.,68.0,Orthodox
Fabio Aguiar,"6' 0""",182.9,185 lbs.,71.55387673956263,
Kevin Aguilar,"5' 7""",170.2,155 lbs.,73.0,Orthodox
Brett Johns,"5' 7""",170.2,135 lbs.,71.0,Orthodox
Ricardo Ramos,"5' 9""",175.3,145 lbs.,72.0,Orthodox
Sean McCorkle,"6' 7""",200.7,265 lbs.,81.0,Orthodox
Oli Thompson,"6' 1""",185.4,242 lbs.,75.0,Orthodox
Stephen Thompson,"6' 0""",182.9,170 lbs.,75.0,Orthodox
Simeon Thoresen,"6' 1""",185.4,170 lbs.,79.0,Orthodox
Ikram Aliskerov,"6' 0""",182.9,185 lbs.,76.0,Southpaw
Mason Jones,"5' 10""",177.8,155 lbs.,74.0,Orthodox
Alan Jouban,"6' 0""",182.9,170 lbs.,73.0,Southpaw
Charles Jourdain,"5' 9""",175.3,135 lbs.,69.0,Switch
Ricky Calatayud,"5' 9""",175.3,125 lbs.,71.55387673956263,
Jean Francois Lenogue,"6' 0""",182.9,185 lbs.,71.55387673956263,Orthodox
Martin Buday,"6' 4""",193.0,265 lbs.,77.0,Orthodox
Anthony Njokuani,"6' 1""",185.4,155 lbs.,75.0,Orthodox
Ti Haitao,,,135 lbs.,71.55387673956263,
Zhang Qinghe,"5' 7""",170.2,135 lbs.,67.0,Southpaw
Mickael Lebout,"5' 11""",180.3,155 lbs.,73.0,Orthodox
Emiliano Sordi,"6' 2""",188.0,205 lbs.,71.55387673956263,Orthodox
Albert Duraev,"5' 11""",180.3,185 lbs.,75.0,Orthodox
Luke Rockhold,"6' 3""",190.5,185 lbs.,77.0,Southpaw
Cody McKenzie,"6' 0""",182.9,155 lbs.,72.0,Switch
Edmen Shahbazyan,"6' 2""",188.0,185 lbs.,75.0,Orthodox
Chase Sherman,"6' 4""",193.0,250 lbs.,78.0,Orthodox
SuYoung You,"5' 6""",167.6,135 lbs.,65.0,Orthodox
Nate Maness,"5' 10""",177.8,125 lbs.,72.0,Orthodox
Shamar Bailey,"5' 9""",175.3,155 lbs.,75.0,Southpaw
Khama Worthy,"5' 11""",180.3,155 lbs.,74.0,Orthodox
Junior Assuncao,"5' 9""",175.3,145 lbs.,72.0,Orthodox
Austin Arnett,"6' 0""",182.9,145 lbs.,72.0,Orthodox
Jessin Ayari,"6' 0""",182.9,155 lbs.,73.0,Orthodox
Akira Kikuchi,"5' 8""",172.7,155 lbs.,71.55387673956263,Orthodox
Dante Rivera,"6' 1""",185.4,185 lbs.,71.55387673956263,Southpaw
Oron Kahlon,"5' 8""",172.7,135 lbs.,70.0,Orthodox
Drew Brokenshire,,,,71.55387673956263,
Jonathan Brookins,"6' 0""",182.9,145 lbs.,74.0,Southpaw
Rob Broughton,"6' 2""",188.0,265 lbs.,74.0,Orthodox
TJ Waldburger,"5' 11""",180.3,170 lbs.,75.0,Orthodox
Geoff Neal,"5' 11""",180.3,170 lbs.,75.0,Southpaw
