Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Yoshiki Takahashi,30,27,3,2.26,51.0,6.47,44%,0.0,0%,66%,2.3
Guy Mezger,30,14,2,2.3,32.0,1.36,72%,0.39,50%,88%,0.0
Falaniko Vitale,30,11,0,1.88,49.0,3.68,47%,0.72,33%,86%,0.0
Melvin Manhoef,30,14,1,3.52,48.0,2.64,51%,0.33,25%,78%,0.0
Mikhail Iloukhine,30,11,1,0.16,20.0,2.95,26%,0.0,0%,0%,7.0
Cub Swanson,30,14,0,4.79,51.0,4.0,59%,1.01,50%,63%,0.4
Dave Dalgliesh,30,19,2,0.0,0.0,1.85,50%,0.0,0%,0%,0.0
Robbie Lawler,30,16,0,3.85,47.0,4.67,59%,0.65,64%,65%,0.0
Valentijn Overeem,30,32,0,0.93,34.0,1.49,58%,1.86,50%,0%,4.7
Jon Fitch,30,7,1,2.61,50.0,1.65,54%,3.6,51%,56%,0.8
Phil Johns,30,14,1,1.2,66.0,1.8,50%,0.0,0%,50%,0.0
Tyler Stinson,30,10,0,2.8,23.0,4.6,56%,0.5,100%,0%,0.5
Iliarde Santos,30,13,1,3.0,30.0,6.1,57%,1.66,23%,83%,0.0
Sean Strickland,30,7,0,6.04,42.0,4.57,60%,0.71,64%,76%,0.2
Daniel Acacio,30,18,0,3.52,36.0,2.85,62%,0.33,20%,81%,0.0
Michael Bisping,30,9,0,4.33,38.0,2.71,65%,1.05,43%,63%,0.3
Chris Mickle,30,21,2,3.03,27.0,9.7,48%,0.0,0%,0%,0.0
Charles Bennett,30,33,2,1.39,39.0,1.35,64%,2.02,100%,36%,2.0
Aaron Riley,30,14,1,3.45,34.0,3.78,61%,1.18,34%,60%,0.1
Alexandre Pantoja,30,6,0,4.38,50.0,3.88,49%,2.79,47%,69%,1.0
Dustin Poirier,30,10,0,5.24,50.0,4.57,52%,1.15,35%,64%,1.2
Steven Siler,29,16,0,3.21,41.0,2.96,54%,0.47,21%,55%,1.6
Khabib Nurmagomedov,29,0,0,4.1,48.0,1.75,65%,5.32,48%,84%,0.8
Jose Landi-Jons,29,16,0,0.99,40.0,0.77,43%,2.2,80%,40%,2.2
Drew Dober,29,15,0,4.48,41.0,4.33,53%,0.61,16%,58%,0.1
Douglas Lima,29,6,0,1.92,36.0,2.84,60%,0.6,100%,46%,0.0
Brian Gassaway,29,20,2,0.34,26.0,3.65,44%,0.0,0%,42%,0.0
Douglas Silva de Andrade,29,7,0,3.54,38.0,4.09,56%,0.54,42%,71%,0.2
Delson Heleno,29,10,0,0.69,75.0,4.83,19%,0.0,0%,0%,0.0
Antonio McKee,29,6,2,1.37,45.0,0.74,74%,1.47,33%,57%,0.0
Joey Villasenor,29,10,0,2.05,38.0,3.26,52%,0.71,40%,53%,1.1
Wendell Oliveira Marques,29,10,0,3.77,47.0,4.4,47%,0.0,0%,100%,0.0
Darren Elkins,29,12,0,3.4,38.0,3.34,51%,2.87,34%,56%,1.1
Edilberto de Oliveira,29,15,2,4.12,32.0,6.79,61%,0.0,0%,0%,0.0
Hatsu Hioki,29,10,2,2.42,42.0,2.12,65%,2.55,56%,54%,0.6
Jan Blachowicz,29,11,2,3.55,50.0,3.14,52%,0.98,48%,69%,0.4
Dakota Cochrane,29,12,0,2.66,75.0,2.66,30%,4.43,33%,0%,0.0
Yaroslav Amosov,29,1,0,2.78,47.0,1.55,54%,4.64,50%,0%,4.6
Pat Miletich,29,7,2,1.79,45.0,1.66,63%,1.96,100%,54%,1.0
Egidijus Valavicius,29,12,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Eiji Ishikawa,29,24,3,1.2,29.0,4.07,60%,1.0,9%,0%,0.0
Eddie Alvarez,29,6,0,4.32,41.0,4.39,55%,2.92,36%,92%,0.5
Chael Sonnen,29,15,1,3.08,43.0,1.1,62%,3.81,59%,66%,0.4
Rich Franklin,29,7,0,4.1,44.0,2.07,62%,1.31,66%,63%,0.7
Jim Wallhead,29,11,0,3.19,26.0,6.65,49%,0.0,0%,100%,0.0
Lucas Lopes,29,19,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Poppies Martinez,29,11,0,2.88,50.0,2.16,51%,1.54,33%,50%,9.2
Wuziazibieke Jiahefu,29,12,1,0.41,50.0,2.84,41%,6.08,50%,0%,0.0
Derrick Lewis,29,13,0,2.46,49.0,2.57,39%,0.55,26%,52%,0.0
JJ Ambrose,28,7,0,3.16,69.0,6.32,33%,0.0,0%,50%,0.0
Jeremy Stephens,28,20,0,3.15,40.0,3.14,58%,1.11,38%,62%,0.4
Alexander Volkanovski,28,4,0,5.99,57.0,3.31,58%,1.63,34%,68%,0.2
Heath Herring,28,16,0,2.37,50.0,1.77,54%,1.22,50%,32%,0.7
Igor Pokrajac,28,13,0,2.25,45.0,4.26,40%,0.87,29%,51%,0.2
Joseph Benavidez,28,8,0,3.52,34.0,2.67,61%,1.41,30%,62%,0.6
Robert McDaniel,28,10,0,1.64,44.0,1.98,56%,0.93,50%,50%,1.4
Nazareno Malegarie,28,4,0,3.87,34.0,3.27,69%,1.0,33%,0%,0.0
Efrain Escudero,28,12,0,2.92,44.0,2.3,63%,1.31,40%,66%,0.8
Thales Leites,28,9,0,2.13,40.0,2.99,52%,2.1,27%,30%,1.1
Demian Maia,28,11,0,1.8,43.0,2.07,63%,2.49,24%,61%,1.0
Ron Fields,28,32,1,0.33,33.0,2.64,11%,0.0,0%,0%,0.0
Nariman Abbasov,28,4,0,3.0,20.0,5.67,46%,0.0,0%,66%,0.0
Jon Jones,28,1,0,4.38,58.0,2.24,64%,1.89,45%,95%,0.5
Motonobu Tezuka,28,12,7,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Joe Lauzon,28,16,0,2.84,39.0,5.39,54%,2.39,45%,54%,2.0
Raphael Assuncao,28,10,0,3.22,42.0,2.5,66%,1.65,39%,78%,0.2
Islam Makhachev,28,1,0,2.45,58.0,1.45,61%,3.1,56%,91%,1.0
Rafael Silva,28,6,0,0.67,50.0,0.73,67%,0.0,0%,25%,1.0
Sergey Khandozhko,28,6,1,3.41,41.0,2.37,60%,0.76,28%,61%,0.0
Daisuke Nakamura,28,19,1,0.94,30.0,1.38,61%,0.46,40%,30%,3.6
Johnny Eduardo,28,13,0,2.95,39.0,3.22,63%,0.22,20%,58%,0.4
Adriano Martins,28,9,0,1.8,38.0,2.14,65%,0.83,80%,81%,0.4
James Krause,28,9,0,4.79,49.0,4.11,61%,0.96,18%,59%,0.9
Ken Shamrock,28,17,2,1.47,46.0,4.3,39%,0.94,60%,44%,2.5
Keith Wisniewski,28,15,1,2.32,52.0,4.86,42%,1.57,40%,78%,0.3
Kevin Holland,28,15,0,4.26,49.0,3.22,50%,0.83,39%,56%,0.5
Bas Rutten,28,4,1,5.59,61.0,2.06,79%,0.0,0%,0%,0.0
Abus Magomedov,28,7,1,3.07,49.0,3.43,55%,2.61,59%,100%,0.4
Daniel Pineda,28,17,0,2.85,49.0,3.26,45%,1.42,24%,54%,1.5
Rani Yahya,28,12,1,1.71,38.0,2.08,50%,2.73,30%,29%,1.8
Francisco Trinaldo,28,9,0,3.13,45.0,2.67,60%,0.98,42%,60%,0.5
Joshua Burkman,28,16,0,2.69,43.0,3.13,51%,2.53,36%,72%,0.3
Marcin Tybura,27,10,0,3.59,48.0,3.33,55%,1.38,33%,75%,0.1
Ivan Jorge,27,7,0,3.41,49.0,2.91,59%,1.56,16%,75%,0.6
Rongzhu,27,6,0,6.02,51.0,5.44,52%,1.35,62%,84%,0.1
Demetrious Johnson,27,3,1,3.43,54.0,1.66,67%,3.35,56%,65%,0.5
Mairbek Taisumov,27,6,0,2.98,39.0,3.03,64%,1.34,63%,88%,0.0
Karl Amoussou,27,7,2,1.47,34.0,2.67,54%,0.0,0%,25%,1.0
Vladimir Matyushenko,27,8,0,1.9,44.0,1.62,59%,3.25,46%,70%,0.1
Jens Pulver,27,19,1,2.12,37.0,3.13,56%,0.22,33%,63%,0.3
Mike Pyle,27,14,1,2.74,45.0,2.84,60%,1.8,35%,70%,1.5
Cheick Kongo,27,10,2,3.33,56.0,1.28,54%,2.3,56%,52%,0.2
Ovince Saint Preux,27,18,0,3.03,47.0,3.33,47%,1.09,36%,67%,0.5
Diego Lopes,27,8,0,3.83,47.0,4.56,45%,0.88,50%,68%,1.4
Ed Herman,27,16,0,3.31,48.0,3.71,42%,1.96,47%,59%,1.0
Justin Gaethje,27,5,0,6.48,58.0,7.05,51%,0.33,40%,74%,0.0
Max Holloway,27,9,0,6.91,48.0,4.61,58%,0.23,53%,81%,0.3
Laverne Clark,27,21,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Xiao Long,27,11,0,5.06,47.0,3.85,50%,0.74,27%,82%,0.0
Brian Foster,27,10,0,3.3,39.0,1.63,65%,3.67,60%,37%,1.8
Robert Whittaker,27,9,0,4.39,43.0,3.36,59%,0.73,38%,82%,0.0
Mauricio Rua,27,14,1,3.57,50.0,2.79,54%,2.01,48%,49%,0.7
Tsuyoshi Kohsaka,27,19,2,1.88,38.0,4.41,54%,1.32,20%,33%,0.4
Mike Whitehead,27,8,0,1.62,33.0,2.36,59%,3.59,43%,77%,0.3
Derrick Noble,27,15,1,6.21,40.0,3.79,59%,0.0,0%,0%,0.0
Thomas Denny,27,21,1,2.36,45.0,4.69,40%,1.48,17%,42%,1.5
Darrick Minner,26,14,0,2.63,65.0,2.28,35%,2.4,72%,66%,2.7
Maimaitituoheti Keremuaili,26,11,0,1.47,52.0,1.67,37%,1.0,33%,84%,0.0
Matt Brown,26,19,0,3.76,55.0,2.92,55%,1.68,46%,63%,1.3
Aaron Brink,26,26,0,3.49,42.0,5.71,57%,0.0,0%,0%,0.0
Jason Lambert,26,13,0,3.21,58.0,1.84,50%,1.35,36%,28%,2.4
Nick Diaz,26,10,0,5.71,42.0,3.84,59%,1.28,32%,60%,1.0
Masanori Kanehara,26,12,5,1.88,49.0,1.63,62%,1.44,50%,63%,0.9
Mike Brown,26,9,0,2.98,44.0,2.45,60%,3.23,40%,66%,0.6
Tony Ferguson,26,11,0,4.91,45.0,4.37,55%,0.39,35%,66%,0.9
Rodney Wallace,26,15,1,1.13,46.0,3.44,45%,6.0,54%,28%,1.0
Jacare Souza,26,10,0,2.53,47.0,2.83,62%,2.57,39%,57%,1.3
Vernon White,26,33,2,2.11,38.0,2.2,54%,0.88,28%,44%,0.0
Krzysztof Soszynski,26,12,1,3.37,39.0,3.13,58%,0.52,25%,71%,1.0
Nick Rossborough,26,19,1,2.8,35.0,4.33,35%,0.0,0%,100%,0.0
Sergei Kharitonov,26,6,0,3.9,44.0,3.03,54%,1.16,53%,70%,1.0
Georges St-Pierre,26,2,0,3.78,53.0,1.4,72%,4.16,74%,83%,1.1
Fernando Gonzalez,26,14,0,4.47,47.0,4.03,65%,0.86,33%,43%,1.4
Aoriqileng,26,12,0,4.69,49.0,5.47,48%,1.2,46%,58%,0.0
Alex Perez,26,10,0,4.41,46.0,3.2,59%,2.21,48%,75%,0.7
Jessica Andrade,26,15,0,6.37,48.0,5.58,54%,2.1,54%,75%,0.3
Georgi Karakhanyan,26,7,1,4.49,39.0,5.0,54%,1.41,50%,33%,1.9
Yuya Shirai,26,14,2,1.02,100.0,4.07,55%,0.0,0%,0%,0.0
Valentina Shevchenko,26,4,1,3.04,52.0,2.0,63%,2.65,61%,76%,0.3
Luigi Fioravanti,26,15,0,2.23,42.0,2.21,69%,3.76,63%,67%,0.9
Melquizael Costa,26,7,0,4.38,49.0,2.97,54%,2.0,40%,58%,1.1
Jameel Massouh,26,9,0,1.91,54.0,2.62,55%,0.67,15%,50%,0.7
Kazushi Sakuraba,26,17,1,1.26,41.0,2.03,51%,1.26,31%,48%,1.7
Michel Prazeres,26,4,0,2.38,47.0,2.51,57%,3.94,36%,47%,0.6
Homer Moore,26,9,2,0.68,50.0,0.68,0%,5.07,66%,0%,0.0
Anthony Macias,26,18,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Semmy Schilt,26,14,1,1.2,50.0,1.31,53%,0.0,0%,47%,1.1
Dave Cochran,26,29,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Eric Wisely,26,9,1,1.42,47.0,2.08,56%,0.0,0%,27%,0.9
Emanuel Newton,26,12,1,1.92,49.0,1.35,51%,2.02,100%,0%,0.0
Willamy Freire,26,6,0,1.53,37.0,0.93,62%,0.5,100%,73%,0.0
Yizha,26,6,0,3.25,47.0,2.88,49%,3.42,33%,64%,0.9
Makhmud Muradov,26,8,0,4.21,43.0,2.57,61%,3.03,66%,77%,0.2
Megumi Fujii,26,3,0,2.4,42.0,0.0,100%,0.0,0%,0%,12.0
Forrest Petz,26,10,0,2.27,29.0,2.2,57%,1.3,100%,66%,0.0
Brendan Allen,26,7,0,3.59,53.0,3.62,47%,1.56,42%,56%,1.1
Ante Delija,26,8,0,4.28,38.0,3.95,52%,0.0,0%,75%,0.0
Brian Geraghty,26,18,1,0.47,25.0,9.77,36%,0.0,0%,50%,0.0
Vitor Belfort,26,14,0,1.59,46.0,2.83,50%,1.02,60%,53%,0.6
Din Thomas,26,9,0,1.85,37.0,2.6,59%,1.38,52%,76%,1.2
Edwin Aguilar,26,19,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Zhang Weili,26,4,0,4.66,52.0,2.63,53%,1.96,44%,63%,0.5
Koji Oishi,25,10,10,1.43,9.0,17.86,43%,0.0,0%,0%,0.0
Elizeu Zaleski dos Santos,25,10,1,4.16,41.0,3.56,55%,0.79,20%,67%,0.4
Ismail Naurdiev,25,8,0,3.66,52.0,1.75,64%,1.48,40%,73%,0.2
Francis Carmont,25,12,0,2.22,42.0,1.64,59%,1.79,36%,73%,0.6
